Fuel,Type,Standard efficiency in NCV terms,NOX emission factor,NH3 emission factor,SO emission factor,PM2.5 and smaller emission factor,PM10 emission factor,NMVOC emission factor
,,%,kg/Net GJ,kg/Net GJ,kg/Net GJ,kg/Net GJ,kg/Net GJ,kg/Net GJ
Nuclear,,33%,0,0,0,0,0,0
Hard coal,old 1,35%,0.072,0.0017,0.071,0.0025,0.0048,0.0007
Hard coal,old 2,40%,0.072,0.0017,0.071,0.0025,0.0048,0.0007
Hard coal,new,46%,0.072,0.0017,0.071,0.0025,0.0048,0.0007
Hard coal,ccs,38%,0.072,0.0017,0.071,0.0025,0.0048,0.0007
Lignite,old 1,35%,0.084,0.001,0.16,0.0042,0.0057,0.0009
Lignite,old 2,40%,0.084,0.001,0.16,0.0042,0.0057,0.0009
Lignite,new,46%,0.084,0.001,0.16,0.0042,0.0057,0.0009
Lignite,ccs,38%,0.084,0.001,0.16,0.0042,0.0057,0.0009
Gas,conventional old 1,36%,0.019,0.006,0.00056,0.00016,0.00016,0.0021
Gas,conventional old 2,41%,0.019,0.006,0.00056,0.00016,0.00016,0.0021
Gas,CCGT old 1,40%,0.019,0.006,0.00056,0.00016,0.00016,0.0021
Gas,CCGT old 2,48%,0.019,0.006,0.00056,0.00016,0.00016,0.0021
Gas,CCGT present 1,56%,0.019,0.006,0.00056,0.00016,0.00016,0.0021
Gas,CCGT present 2,58%,0.019,0.006,0.00056,0.00016,0.00016,0.0021
Gas,CCGT new,60%,0.019,0.006,0.00056,0.00016,0.00016,0.0021
Gas,CCGT CCS,51%,0.019,0.006,0.00056,0.00016,0.00016,0.0021
Gas,OCGT old,35%,0.019,0.006,0.00056,0.00016,0.00016,0.0021
Gas,OCGT new,42%,0.019,0.006,0.00056,0.00016,0.00016,0.0021
Light Oil,,35%,0.24,0,0.16,0.0062,0.0086,0.0023
Heavy Oil,old 1,35%,0.24,0,0.16,0.0062,0.0086,0.0023
Heavy Oil,old 2,40%,0.24,0,0.16,0.0062,0.0086,0.0023
Oil shale,old,29%,0.24,0,0.16,0.0062,0.0086,0.0023
Oil shale,new,39%,0.24,0,0.16,0.0062,0.0086,0.0023
Other non-RES,,,0.052,0.012,0.038,0.0032,0.0032,0.0039
Lignite biofuel,,35%,0.084,0.001,0.16,0.0042,0.0057,0.0009
Hard Coal biofuel,,35%,0.072,0.0017,0.071,0.0025,0.0048,0.0007
Gas biofuel,,36%,0.019,0.006,0.001,0.00016,0.00016,0.0021
Light Oil biofuel,,35%,0.24,0,0.16,0.0062,0.0086,0.0023
Heavy Oil biofuel,,35%,0.24,0,0.16,0.0062,0.0086,0.0023
Oil shale biofuel,,29%,0.24,0,0.16,0.0062,0.0086,0.0023
